Enero;DÍA_SEMANA;DEMANDA;;Febrero;DÍA_SEMANA;DEMANDA;;Marzo;DÍA_SEMANA;DEMANDA;;Abril;DÍA_SEMANA;DEMANDA;;Mayo;DÍA_SEMANA;DEMANDA;;Junio;DÍA_SEMANA;DEMANDA;;Julio;DÍA_SEMANA;DEMANDA;;Agosto;DÍA_SEMANA;DEMANDA;;Septiembre;DÍA_SEMANA;DEMANDA;;Octubre;DÍA_SEMANA;DEMANDA;;Noviembre;DÍA_SEMANA;DEMANDA;;Diciembre;DÍA_SEMANA;DEMANDA
25/1/22;martes;1.629.201;;25/2/22;viernes;1.760.900;;25/3/22;viernes;2.001.798;;25/4/22;lunes;1.872.050;;25/5/22;miércoles;1.911.960;;25/6/22;sábado;1.169.026;;25/7/22;lunes;748.725;;25/8/22;jueves;1.150.015;;25/9/22;domingo;1.008.900;;25/10/22;martes;2.132.956;;25/11/22;viernes;2.370.749;;25/12/22;domingo;650.080
26/1/22;miércoles;1.667.265;;26/2/22;sábado;1.209.519;;26/3/22;sábado;1.257.393;;26/4/22;martes;1.938.443;;26/5/22;jueves;1.929.134;;26/6/22;domingo;928.736;;26/7/22;martes;1.409.695;;26/8/22;viernes;1.143.911;;26/9/22;lunes;1.962.248;;26/10/22;miércoles;2.212.228;;26/11/22;sábado;1.583.404;;26/12/22;lunes;1.160.089
27/1/22;jueves;1.692.908;;27/2/22;domingo;978.275;;27/3/22;domingo;890.545;;27/4/22;miércoles;1.938.757;;27/5/22;viernes;1.976.569;;27/6/22;lunes;1.676.631;;27/7/22;miércoles;1.446.375;;27/8/22;sábado;823.440;;27/9/22;martes;2.043.404;;27/10/22;jueves;2.166.630;;27/11/22;domingo;1.146.575;;27/12/22;martes;1.781.695
28/1/22;viernes;1.726.192;;28/2/22;lunes;1.682.724;;28/3/22;lunes;1.815.405;;28/4/22;jueves;1.955.923;;28/5/22;sábado;1.330.875;;28/6/22;martes;1.729.252;;28/7/22;jueves;1.437.197;;28/8/22;domingo;694.879;;28/9/22;miércoles;2.087.494;;28/10/22;viernes;2.197.036;;28/11/22;lunes;2.093.361;;28/12/22;miércoles;1.834.972
29/1/22;sábado;1.152.896;;;;;;29/3/22;martes;1.896.777;;29/4/22;viernes;1.964.593;;29/5/22;domingo;1.048.077;;29/6/22;miércoles;1.718.706;;29/7/22;viernes;1.397.686;;29/8/22;lunes;1.194.334;;29/9/22;jueves;2.097.948;;29/10/22;sábado;1.399.314;;29/11/22;martes;2.167.511;;29/12/22;jueves;1.818.171
30/1/22;domingo;843.258;;;;;;30/3/22;miércoles;1.914.170;;30/4/22;sábado;1.271.650;;30/5/22;lunes;1.768.804;;30/6/22;jueves;1.695.893;;30/7/22;sábado;883.914;;30/8/22;martes;1.279.811;;30/9/22;viernes;2.174.158;;30/10/22;domingo;1.164.046;;30/11/22;miércoles;2.209.595;;30/12/22;viernes;1.762.461
31/1/22;lunes;1.658.084;;;;;;31/3/22;jueves;1.961.921;;;;;;31/5/22;martes;1.855.063;;;;;;31/7/22;domingo;726.704;;31/8/22;miércoles;1.320.521;;;;;;31/10/22;lunes;1.760.882;;;;;;31/12/22;sábado;1.042.777
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
